% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.249770257e+04 +1.249770257e+04 +1.195120257e+04 +1.195120257e+04 +1.1990e-01 +1.3413e-01 +4.1600e-03 -1.0630e-01 +7.4789e-01 -4.2002e-01 -6.5128e-01 -5.5854e-01 +5.5661e-01 -1.1739e-02 -5.1964e-01 -1.6541e-01 +6.0015e-01 +9.1914e-02 -2.9967e-01 +3.7037e-01 +1.0319e-02 -4.0591e-01 -4.7616e-01 +7.3484e-01
31 +9.319440418e+03 +9.319440418e+03 +8.772940418e+03 +8.772940418e+03 +3.1057e-01 +4.6295e-01 -7.8218e-02 +5.7379e-01 +6.7358e-01 -2.5565e-01 -7.7145e-02 +4.2168e-01 +1.0420e-01 -5.0394e-01 -5.9932e-02 -5.8269e-01 -2.1536e-02 -8.2181e-01 +7.1629e-01 -1.3891e-01 +6.8465e-01 -4.7012e-01 -2.2280e-01 +8.4766e-02
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.781466482e+04 +2.781466482e+04 +2.881466482e+04 +2.881466482e+04 +1.9189e-01 -5.5430e-01 -9.0760e-02 -1.8936e-01 -6.9477e-01 -6.7821e-01 +2.2033e-01 -7.7504e-01 -4.6413e-01 -1.3502e-01 +5.2684e-01 -1.5585e-01 -4.5266e-02 -2.8188e-02 +6.1386e-02 -5.3847e-02 +5.8557e-01 -3.4793e-01 +6.3517e-01 +4.4359e-02
2 +1.827047001e+04 +1.827047001e+04 +1.927047001e+04 +1.927047001e+04 -2.5885e-01 -5.1964e-02 +9.4740e-02 +3.1307e-01 -2.5920e-01 -4.4331e-01 -1.5679e-01 +1.7861e-01 -3.1700e-01 -1.0889e-01 -8.6579e-01 -7.0342e-01 -5.4770e-01 -5.0934e-02 +3.2105e-01 +6.9527e-01 +1.8995e-01 -3.4891e-01 -2.3004e-01 +3.8090e-01
10 +1.541830834e+04 +1.541830834e+04 +1.641830834e+04 +1.641830834e+04 +3.0368e-01 -2.9130e-01 +8.4215e-01 +4.4790e-01 +2.4257e-01 -1.3554e-01 +6.2103e-01 +1.7555e-01 -9.6864e-03 -3.1863e-01 +1.1599e-01 +6.5465e-01 -1.6628e-01 +3.0742e-01 +1.9869e-01 +2.0207e-01 -2.3239e-01 -7.2166e-01 -6.3946e-03 +2.2245e-01
60 +7.099399343e+03 +7.099399343e+03 +8.099399343e+03 +8.099399343e+03 -3.8258e-02 +5.2359e-02 -5.9924e-01 +7.5561e-01 -2.9448e-01 +2.5092e-01 +3.9650e-01 -1.1780e-01 +2.2269e-01 +8.3385e-02 +2.0829e-01 -4.6893e-01 +1.7394e-02 -1.4620e-01 -1.6132e-01 -3.5707e-01 -2.3472e-01 -3.4173e-01 -8.3127e-01 +2.0441e-02
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.267629383e+04 +1.267629383e+04 +1.288467383e+04 +1.288467383e+04 +2.1699e-01 +5.3378e-01 -7.9053e-01 +2.3174e-02 -2.2125e-01 +9.3247e-01 -3.6645e-02 -6.7390e-02 -6.5313e-02 +7.2361e-01 +2.6070e-01 +1.4855e-01 -4.9614e-02 -5.7608e-01 -2.2074e-01 +1.3046e-01 +1.5550e-01 +2.8855e-01 +9.6893e-02 +2.7179e-01
7 +8.314512672e+03 +8.314512672e+03 +8.522892672e+03 +8.522892672e+03 +1.6782e-01 +6.3226e-02 +2.3408e-01 -3.3713e-01 -1.9055e-01 +3.8495e-01 +8.4819e-01 +7.9678e-01 -8.7703e-02 -3.1455e-02 -4.4563e-01 +4.0188e-01 +2.2734e-01 +3.3971e-01 +3.8110e-01 -2.6164e-01 +5.8549e-01 +2.3774e-01 +4.4901e-01 +2.6971e-01
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.197515809e+04 +3.197515809e+04 +3.183019809e+04 +3.183019809e+04 -1.1691e-01 -2.9668e-01 -6.4651e-01 -7.6900e-01 +3.8498e-01 +5.6896e-02 -5.3996e-01 +6.6906e-01 +1.8382e-01 +7.9698e-01 -3.2877e-01 -2.9994e-01 -4.9902e-01 +1.1677e-02 +2.7703e-01 +6.1620e-01 -1.1387e-02 +1.2215e-01 -7.1297e-01 +3.3065e-01
2 +1.103141189e+04 +1.103141189e+04 +1.088645189e+04 +1.088645189e+04 -8.7665e-01 +1.2294e-01 +7.3796e-01 -3.5234e-01 +1.8343e-01 +7.1488e-01 -4.6860e-01 +1.7266e-01 -1.0861e-01 -2.1808e-01 +1.3371e-01 +6.9951e-01 +6.0826e-01 +2.8221e-01 +4.9164e-01 +2.7683e-02 -3.0017e-01 -3.5168e-01 +3.5852e-01 +2.0352e-01
3 +9.791089684e+03 +9.791089684e+03 +9.646129684e+03 +9.646129684e+03 -3.1453e-01 +3.8837e-01 -2.9181e-02 +2.0907e-01 -2.8948e-03 -3.7844e-01 -5.8166e-01 +4.2065e-01 +7.5298e-01 +6.1495e-01 +1.8350e-01 +5.7747e-03 +5.8542e-01 +1.0512e-01 +5.6886e-01 +6.0854e-02 -6.7404e-02 +1.5888e-01 +2.9807e-01 -8.1346e-01
% function evaluation | noise-free fitness - Fopt (-6.300000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
