% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4 +6.130340979e+02 +6.130340979e+02 +5.172840979e+02 +5.172840979e+02 +1.3536e-02 +2.5046e-01 -5.7548e-02 +5.1355e-01 -4.2282e-01 +4.6922e-01 -2.8882e-01 +8.9741e-02 +1.7432e-01 -2.9311e-01 -1.0622e-01 -4.9746e-01 -9.2624e-01 +1.3852e-01 -4.0213e-01 -2.4102e-01 -5.5054e-03 +3.7180e-01 +3.5159e-02 -8.6097e-01
% function evaluation | noise-free fitness - Fopt (-9.136000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.953096608e+02 +4.953096608e+02 +4.039496608e+02 +4.039496608e+02 +8.9166e-01 +7.0535e-01 +7.8106e-01 +3.2254e-01 -8.3397e-01 +2.0972e-01 -7.4706e-01 -9.6422e-02 -2.0488e-01 -6.3982e-01 +2.3562e-01 -2.0307e-01 +4.8629e-01 +3.2472e-02 +2.5980e-01 -7.7830e-01 -4.8012e-01 -9.3358e-02 +1.3420e-02 +7.7268e-02
% function evaluation | noise-free fitness - Fopt (2.315300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.753880565e+02 +6.753880565e+02 +9.069180565e+02 +9.069180565e+02 +2.5903e-02 +3.2257e-01 -4.5886e-01 +8.8180e-01 +1.7153e-01 +3.2517e-01 +6.0903e-01 +9.7508e-02 -5.1133e-01 +4.1258e-01 -7.6167e-01 +2.4722e-01 -6.4793e-01 +1.4126e-01 +1.2315e-01 +2.2599e-01 -1.6665e-01 +2.3962e-01 +1.0645e-01 +3.7424e-01
4 +6.192232037e+02 +6.192232037e+02 +8.507532037e+02 +8.507532037e+02 -2.5464e-01 +2.0909e-01 +5.8196e-01 -4.8566e-01 -2.1078e-01 -3.1715e-01 -1.8936e-02 -2.0237e-02 -5.7065e-01 +6.0273e-01 -5.0364e-01 +1.3484e-02 +6.0059e-01 +3.6180e-01 +6.8344e-01 +7.6220e-01 +4.1772e-01 -1.6759e-01 -5.7753e-01 -6.9905e-01
% function evaluation | noise-free fitness - Fopt (-1.397700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.074742790e+03 +1.074742790e+03 +9.349727904e+02 +9.349727904e+02 +6.2367e-01 -2.2101e-01 +7.2794e-01 -7.9608e-02 -3.7829e-01 +3.4131e-01 +5.4325e-01 +7.6872e-01 +4.0452e-01 +3.0802e-01 -3.9492e-01 -3.7109e-01 +1.4638e-01 +5.3848e-01 +2.1306e-01 -2.0588e-01 +3.6540e-02 +4.2052e-02 -7.4556e-01 +3.9662e-01
3 +8.702555837e+02 +8.702555837e+02 +7.304855837e+02 +7.304855837e+02 +3.9464e-01 +1.7625e-01 +1.7378e-01 +3.7721e-01 -3.1912e-01 +1.8225e-01 -4.7210e-01 -1.2790e-01 -2.2271e-01 +1.5445e-01 +8.2655e-01 -4.1409e-01 -8.3336e-01 +2.0324e-01 +2.0642e-01 +4.4250e-01 -5.4657e-01 -2.3886e-01 -4.5997e-02 -5.3637e-01
% function evaluation | noise-free fitness - Fopt (9.830000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.347766854e+02 +7.347766854e+02 +7.446066854e+02 +7.446066854e+02 +5.6176e-02 -5.1374e-02 -4.7166e-02 -1.9557e-01 -8.6048e-01 -2.1901e-01 -1.0633e-01 -6.7989e-01 -7.6281e-01 +6.0906e-01 -3.3412e-03 +2.3617e-01 -1.5900e-01 +2.6024e-01 +3.6862e-02 +1.8770e-01 +5.9747e-02 -2.8150e-01 -3.7057e-01 +2.3915e-01
52 +5.963470851e+02 +5.963470851e+02 +6.061770851e+02 +6.061770851e+02 +3.9805e-01 +5.1401e-01 -6.9445e-01 -4.0519e-01 +2.6934e-01 +4.7409e-01 +3.2694e-01 +1.1439e-01 -4.7926e-01 +9.4978e-02 -1.4316e-01 -4.4585e-01 +3.5043e-01 +2.6093e-01 -3.9808e-02 +2.1025e-02 +4.5641e-01 -2.6103e-01 +2.5967e-01 -6.7424e-01
% function evaluation | noise-free fitness - Fopt (6.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.977933902e+02 +9.977933902e+02 +1.065003390e+03 +1.065003390e+03 -3.7927e-01 -2.2007e-01 +2.4733e-01 -1.4935e-02 -1.5530e-01 +8.0069e-01 -1.3964e-01 -2.5581e-01 -1.3094e-01 +5.1208e-01 -1.0006e-01 -1.4840e-01 -1.3245e-01 +4.4792e-01 +5.3556e-02 +4.8908e-01 +4.5340e-01 +3.1250e-01 +4.1947e-01 +2.9408e-02
% function evaluation | noise-free fitness - Fopt (-5.296000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.968462581e+02 +6.968462581e+02 +6.438862581e+02 +6.438862581e+02 +2.3193e-01 +2.2533e-01 -5.2153e-01 -6.9370e-02 +3.7463e-01 +5.3111e-01 -4.4794e-01 +7.8011e-01 -5.1109e-01 -2.2694e-01 +7.9737e-02 -2.7537e-01 -1.5837e-01 +1.4457e-01 +1.8689e-01 +1.9044e-01 -2.2129e-01 -4.5993e-01 +3.2217e-01 -6.6694e-01
45 +6.302349105e+02 +6.302349105e+02 +5.772749105e+02 +5.772749105e+02 +6.9806e-02 +6.9109e-03 +4.2638e-02 +3.8115e-02 +5.8377e-01 +8.4181e-02 -9.5749e-02 +6.2180e-01 -3.6832e-01 +7.8626e-01 -1.0229e-01 -3.9542e-01 -4.7039e-01 -5.8572e-01 -3.2242e-02 -1.4891e-01 +2.4180e-01 +8.7524e-01 -2.0079e-01 +1.4171e-01
% function evaluation | noise-free fitness - Fopt (8.806000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.262570920e+02 +6.262570920e+02 +7.143170920e+02 +7.143170920e+02 +1.8507e-01 -4.8237e-01 -2.7033e-01 +3.0828e-02 +7.2354e-01 -4.0975e-02 +3.2088e-01 +8.7487e-01 +1.0501e-02 +4.6151e-01 -5.5449e-01 -9.9906e-02 +1.8105e-01 +6.9418e-02 -8.7365e-01 -1.7107e-01 -1.1532e-01 -1.0146e-01 +2.7204e-01 -1.5919e-01
% function evaluation | noise-free fitness - Fopt (7.853000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.647066625e+02 +8.647066625e+02 +9.432366625e+02 +9.432366625e+02 -1.5763e-01 +1.4521e-01 +8.7809e-01 -4.3161e-01 -3.2359e-02 -2.8631e-01 -6.9750e-01 -5.3594e-01 +6.2902e-01 -9.7057e-02 -3.3042e-01 -1.6604e-01 +3.7671e-01 +2.8333e-01 -6.2751e-01 -2.1344e-01 +1.1387e-02 -2.7817e-01 +3.4084e-01 -8.3651e-01
