% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.908999831e+06 +4.908999831e+06 +4.908951431e+06 +4.908951431e+06 +3.8171e-01 +2.0290e-01 -5.7375e-02 -3.1290e-01 +5.4299e-02 +7.1426e-01 -5.8072e-01 +5.0145e-01 -4.2622e-01 +2.0584e-01 +3.4565e-01 +3.1260e-01 -2.4752e-01 -1.3907e-01 -3.4272e-01 -2.8799e-01 +4.5949e-01 +3.9878e-01 -1.8939e-01 +3.4964e-01
9 +3.370388770e+06 +3.370388770e+06 +3.370340370e+06 +3.370340370e+06 +4.0238e-01 +8.5250e-02 +7.3739e-02 -1.4512e-01 -6.5037e-01 -1.6911e-01 -2.3092e-01 +5.0102e-01 +2.4756e-01 +8.0815e-01 -3.6487e-01 +7.1033e-01 -1.3986e-01 +3.7557e-01 +9.5088e-02 +2.8341e-01 -1.2983e-01 -4.7085e-01 -4.8293e-01 +3.9960e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.543768046e+06 +6.543768046e+06 +6.544768046e+06 +6.544768046e+06 -1.6326e-01 -2.7746e-01 -5.7085e-01 -2.5187e-01 +4.6885e-01 -2.2782e-01 +5.2673e-01 -2.9892e-01 -8.0866e-01 +9.9431e-01 +1.6767e-01 +1.2067e-01 +5.5889e-01 -6.7602e-01 +2.6164e-01 +3.2781e-01 -8.8582e-03 -4.3018e-01 -2.1158e-01 +2.6727e-01
4 +5.502441236e+06 +5.502441236e+06 +5.503441236e+06 +5.503441236e+06 +1.9673e-01 +1.0458e-01 +4.4039e-01 +5.1117e-01 +2.2826e-01 -4.2539e-01 -2.9861e-01 -4.5941e-01 +1.2581e-01 +8.1629e-01 -3.2141e-02 +7.5212e-02 -4.4635e-01 +5.8330e-01 -2.7908e-01 -1.5219e-01 -1.0282e-01 -5.1923e-03 +3.3321e-01 +3.3609e-01
28 +3.672180862e+06 +3.672180862e+06 +3.673180862e+06 +3.673180862e+06 +4.8108e-01 -5.6613e-01 +5.5809e-01 -2.1848e-01 +4.7031e-02 -7.2562e-01 -7.1487e-01 +1.3431e-02 -1.8073e-01 -1.5064e-01 -7.2714e-02 +5.4653e-01 -2.8762e-01 -4.7171e-01 -1.7584e-01 +4.2497e-01 +8.8319e-01 +4.4651e-02 +4.5945e-01 +5.3469e-01
% function evaluation | noise-free fitness - Fopt (3.261100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.906254939e+07 +1.906254939e+07 +1.906287550e+07 +1.906287550e+07 +1.9014e-01 +4.7418e-01 -2.7571e-01 -3.2194e-01 +6.5626e-01 +1.4565e-01 -1.0605e-01 -4.8214e-01 -2.6982e-01 +4.0100e-01 -4.0926e-02 +1.6964e-01 +2.1523e-02 +1.2554e-01 -6.5245e-01 -7.3393e-02 -5.0714e-01 -4.9573e-01 -1.5328e-01 -2.5747e-01
23 +1.566670331e+07 +1.566670331e+07 +1.566702942e+07 +1.566702942e+07 +9.1583e-02 +1.9157e-02 +4.8651e-01 -2.9910e-01 -3.0802e-01 -7.2551e-01 -1.0209e-01 +2.3235e-01 -2.1063e-01 -3.1691e-01 -8.6380e-01 +2.3861e-01 +8.5960e-01 -4.2373e-02 -3.3757e-01 -3.6833e-01 -1.0424e-01 +6.6014e-01 -2.6367e-01 -5.2752e-01
% function evaluation | noise-free fitness - Fopt (-4.682000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
