% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.154525320e+07 +1.154525320e+07 +1.154504332e+07 +1.154504332e+07 -4.1740e-01 +4.7913e-01 +1.7995e-01 -6.6651e-02 +3.2619e-01 +7.7083e-01 -3.6563e-01 +3.9988e-01 +1.5825e-01 -1.9102e-01 -5.3299e-01 +4.7216e-01 -3.0503e-01 +2.0173e-02 +3.3390e-01 +2.8504e-01 -3.4788e-01 -6.8305e-01 -5.0764e-01 -2.8465e-01
3 +9.420520746e+06 +9.420520746e+06 +9.420310866e+06 +9.420310866e+06 +5.2188e-02 -1.6535e-01 +6.7572e-02 -2.7724e-01 +2.4735e-01 +5.7843e-02 +6.0550e-01 +4.8389e-01 -1.8174e-01 +8.0691e-01 -2.9123e-01 -4.0831e-01 -5.4604e-01 -5.3982e-01 +4.2357e-01 -3.7757e-01 -2.5910e-01 +2.2591e-01 -4.1538e-01 -8.6610e-02
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.114804369e+07 +1.114804369e+07 +1.114795160e+07 +1.114795160e+07 +4.9966e-01 -8.2424e-02 +7.1084e-01 +8.3382e-01 -3.8332e-01 +1.7454e-01 +2.1897e-02 +2.7441e-01 -3.2481e-01 -4.8771e-01 -4.9142e-01 -4.4934e-01 +6.4084e-01 -9.5834e-01 -5.3626e-02 +2.3777e-01 +4.5213e-01 -2.1851e-01 +3.5794e-02 +5.3400e-01
2 +9.000427691e+06 +9.000427691e+06 +9.000335601e+06 +9.000335601e+06 +7.6664e-01 -7.2331e-02 +3.0574e-01 +5.7942e-01 -4.8444e-01 +9.5013e-01 -5.3410e-02 -5.6096e-02 -2.5320e-01 -7.2528e-02 +6.3525e-02 +6.6390e-02 -1.3122e-01 -4.7456e-01 +2.9864e-01 -1.1446e-01 +3.0805e-01 +2.1542e-01 -9.6370e-02 +7.2225e-02
5 +6.129058969e+06 +6.129058969e+06 +6.128966879e+06 +6.128966879e+06 -4.9332e-01 -2.6512e-01 +5.3448e-01 +3.7568e-01 -1.6420e-01 -5.9499e-02 -1.0692e-01 +3.8617e-01 +2.0337e-01 +3.9553e-01 -3.9367e-01 +1.4682e-01 -4.2120e-01 -3.6592e-01 +4.2047e-01 -4.3156e-01 +1.5374e-01 +1.6389e-01 +6.0912e-01 -8.6570e-01
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.245058941e+07 +1.245058941e+07 +1.245050152e+07 +1.245050152e+07 -8.1687e-01 +3.8999e-01 +7.9774e-02 +3.0965e-01 -1.6412e-01 -3.6597e-01 +7.3753e-01 +1.9103e-02 +2.1097e-01 +1.6837e-01 +3.3667e-01 +1.7174e-01 -1.5281e-01 +2.9624e-01 +1.9142e-01 -5.1866e-02 +7.2738e-02 -6.3828e-01 +1.7020e-01 +1.5633e-01
11 +9.935151147e+06 +9.935151147e+06 +9.935063257e+06 +9.935063257e+06 -2.9416e-01 +2.4456e-01 +1.1083e-01 -4.8739e-01 -6.2319e-01 +1.7733e-01 +1.3188e-01 +5.4969e-02 +8.2893e-01 +5.2108e-01 +5.3239e-01 +8.4030e-02 +4.8126e-01 -3.6223e-02 -4.5229e-02 -6.7538e-02 +1.1502e-01 +1.9694e-01 +3.9976e-01 +3.7667e-01
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.816851596e+06 +4.816851596e+06 +4.817171786e+06 +4.817171786e+06 +8.1596e-02 -4.7335e-01 +7.8361e-01 -6.9707e-02 +2.5686e-01 +5.2729e-01 -4.0799e-01 +1.1982e-01 -5.5108e-01 -5.5979e-01 +3.0637e-01 +1.1614e-01 -6.5913e-01 +5.9779e-01 -2.9221e-01 +2.5372e-01 -1.9749e-01 +5.2204e-01 +6.3448e-01 +4.3289e-01
64 +3.831836390e+06 +3.831836390e+06 +3.832156580e+06 +3.832156580e+06 +1.9659e-01 +3.3327e-01 -1.7332e-01 +3.9121e-01 +2.3884e-01 +1.2625e-01 +4.1481e-01 +5.1185e-01 +2.2688e-01 +1.8572e-01 -7.9232e-01 -4.4660e-01 -3.4618e-01 +1.7042e-01 +2.2413e-01 -4.9497e-02 +1.5458e-01 +8.3506e-02 +9.2240e-01 +6.3252e-01
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.415079655e+07 +1.415079655e+07 +1.415069231e+07 +1.415069231e+07 +7.9059e-03 +4.9809e-01 +1.6790e-02 -1.9897e-01 +7.1450e-02 +5.3822e-01 +2.6864e-01 -8.0749e-02 -1.5140e-01 -7.0602e-01 +5.3889e-01 +2.1022e-01 -2.5287e-01 +7.8802e-01 +1.1138e-01 -5.7310e-01 +7.0565e-01 +1.9833e-01 +5.2977e-01 -6.3822e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.916092465e+06 +4.916092465e+06 +4.915092465e+06 +4.915092465e+06 -2.7152e-01 -9.9572e-02 +4.0105e-01 -2.0638e-03 +1.8910e-01 -5.1346e-02 -8.6577e-01 +2.4339e-01 +5.9085e-01 +1.8969e-01 +4.9163e-01 -1.1329e-01 -9.3389e-01 -2.5271e-02 +4.5834e-01 +5.5482e-01 -2.2426e-01 +1.3457e-01 -6.3099e-02 -3.3273e-01
3 +3.648232964e+06 +3.648232964e+06 +3.647232964e+06 +3.647232964e+06 -4.8916e-01 +1.3537e-01 +1.6897e-01 -5.3761e-01 +1.0211e-01 -6.2001e-02 -5.7448e-01 -1.5046e-01 -4.7696e-01 +9.6703e-02 -4.2570e-01 +2.7608e-01 -5.2251e-01 -2.0367e-01 +6.3198e-03 +5.9320e-01 -8.1189e-01 -4.6333e-01 +7.8870e-01 -1.0347e-01
91 +2.307727623e+06 +2.307727623e+06 +2.306727623e+06 +2.306727623e+06 -1.6392e-01 -3.5073e-01 +4.2125e-01 -1.7990e-01 +2.2613e-01 -8.7007e-02 -3.5703e-01 +1.9020e-01 -5.0216e-02 -2.3760e-02 -2.0639e-01 -2.1883e-01 -1.1390e-01 +2.4591e-01 -2.0698e-01 +2.0918e-01 +2.2264e-01 -9.0599e-01 +4.9148e-01 +4.6030e-01
% function evaluation | noise-free fitness - Fopt (-3.629000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.079234796e+06 +5.079234796e+06 +5.079198506e+06 +5.079198506e+06 -2.9670e-02 -4.1498e-01 +1.4530e-01 -6.1940e-01 +7.4255e-02 +1.2782e-01 -6.5361e-02 -9.8177e-01 +1.9442e-01 +2.7401e-01 +4.3369e-01 +1.2024e-01 +3.6561e-01 +7.0076e-01 -1.3615e-01 -2.4229e-02 -4.7446e-02 +1.6223e-01 +6.1295e-01 -4.4817e-01
4 +3.618131029e+06 +3.618131029e+06 +3.618094739e+06 +3.618094739e+06 -1.0050e-01 -1.3770e-01 -1.2091e-01 -1.3284e-01 +6.8371e-01 -1.9652e-01 -3.5076e-01 -3.8290e-01 +4.2892e-01 -4.1710e-01 -2.4116e-01 -1.5935e-01 -1.0730e-01 +4.9327e-01 -8.1448e-01 -2.7285e-01 -4.6523e-02 +4.3781e-01 +1.3650e-01 +6.1742e-01
73 +2.456237690e+06 +2.456237690e+06 +2.456201400e+06 +2.456201400e+06 -3.1878e-01 +2.3562e-01 -2.1924e-01 +3.4253e-01 -1.8616e-02 +1.3174e-01 -1.6300e-01 -4.5269e-01 -3.4612e-02 +6.6011e-02 -3.4958e-01 +7.7565e-01 -3.5471e-01 -4.0367e-02 +5.7410e-01 -7.4729e-01 -6.4766e-01 +8.3177e-01 -1.7960e-01 +2.5352e-01
% function evaluation | noise-free fitness - Fopt (-4.840000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.334417515e+06 +5.334417515e+06 +5.334369115e+06 +5.334369115e+06 +2.0244e-01 +1.0890e-01 -1.1697e-01 -3.0113e-01 -1.3379e-01 +3.1364e-01 -3.1563e-01 -4.8623e-01 +5.9541e-01 -5.0961e-01 +6.8535e-01 +5.2560e-01 -1.8267e-02 -3.2947e-01 -6.6642e-01 +4.9205e-02 +5.5555e-01 +8.1322e-01 -1.7357e-01 +1.3966e-01
6 +3.789068278e+06 +3.789068278e+06 +3.789019878e+06 +3.789019878e+06 -1.0722e-01 -8.2927e-01 +4.5031e-01 +1.0114e-01 -2.3598e-02 -6.2807e-02 +8.7485e-02 +7.3982e-01 +4.8080e-01 +4.9378e-01 +1.7172e-01 +3.9439e-02 -4.9953e-01 -2.9814e-01 +2.0070e-02 -1.6507e-01 +2.7632e-01 -2.2871e-01 -8.6157e-01 +6.9269e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.259077695e+06 +6.259077695e+06 +6.260077695e+06 +6.260077695e+06 -2.4524e-01 -2.2574e-01 -8.1627e-03 -3.8159e-01 -2.6850e-01 -5.3264e-01 -3.2686e-01 -2.5895e-02 -2.6785e-01 -5.3552e-03 -1.7520e-03 +7.1860e-01 +8.3576e-01 -3.1612e-01 +5.1426e-01 -1.5888e-01 -2.4978e-01 -2.9906e-01 +2.8250e-01 +2.1402e-01
23 +3.542422088e+06 +3.542422088e+06 +3.543422088e+06 +3.543422088e+06 -8.8537e-01 -8.7913e-01 +1.3083e-01 +7.6994e-01 +7.3665e-01 -1.3020e-01 +7.4422e-01 +7.6045e-02 -1.2952e-01 -2.9375e-02 +3.0448e-01 -1.1258e-01 +1.0680e-01 -4.6103e-02 +1.1874e-02 -1.3073e-01 +2.9042e-01 +4.0017e-01 +1.6482e-01 +7.8616e-01
% function evaluation | noise-free fitness - Fopt (3.261100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
